subject,body,label
Action Required: Unusual Login Detected,Your account has been temporarily locked. Please login at http://paypal-security-alert.net/update to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Urgent: Verify Your Account Now,Congratulations! You have won a prize. Click http://192.168.44.21/verify now and claim your reward before this limited time offer expires.,phishing
Newsletter: This Month's Highlights,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
IRS Tax Refund Pending - Action Needed,"Dear Customer, we detected unusual activity on your account. Click here http://paypal-security-alert.net/update to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Your Account Has Been Suspended,You have a pending refund of $284.50. Verify your bank details at http://account-update-now.biz/login to receive your payment today.,phishing
Q3 Budget Review Attached,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Action Required: Unusual Login Detected,Your account has been temporarily locked. Please login at http://appIe-id-locked.com/restore to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Newsletter: This Month's Highlights,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Your Package Could Not Be Delivered,You have a pending refund of $284.50. Verify your bank details at http://secure-verify-account.com/login to receive your payment today.,phishing
Your Package Could Not Be Delivered,Act now! Your subscription will be cancelled unless you confirm your payment information at http://192.168.44.21/verify within 24 hours.,phishing
Lunch Plans for Friday?,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
Urgent: Verify Your Account Now,You have a pending refund of $284.50. Verify your bank details at http://secure-verify-account.com/login to receive your payment today.,phishing
Newsletter: This Month's Highlights,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Final Notice: Payment Failed,We were unable to process your recent payment. Update your billing details at http://irs-gov-refund.net/claim immediately to avoid service interruption.,phishing
Q3 Budget Review Attached,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Weekly Team Meeting Notes,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Your Package Could Not Be Delivered,Your package delivery failed due to an incomplete address. Confirm your details at http://appIe-id-locked.com/restore within 48 hours or the package will be returned.,phishing
Project Timeline Update,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Flight Confirmation for Your Upcoming Trip,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Reminder: Dentist Appointment Tomorrow,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Urgent: Verify Your Account Now,You have a pending refund of $284.50. Verify your bank details at http://paypal-security-alert.net/update to receive your payment today.,phishing
Your Account Has Been Suspended,You have a pending refund of $284.50. Verify your bank details at http://bank-login-verify.info/auth to receive your payment today.,phishing
Project Timeline Update,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
Weekly Team Meeting Notes,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Q3 Budget Review Attached,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Your Account Has Been Suspended,"Dear Customer, we detected unusual activity on your account. Click here http://appIe-id-locked.com/restore to verify your identity immediately or your account will be suspended within 24 hours.",phishing
You've Won a $1000 Gift Card!,Your account has been temporarily locked. Please login at http://amaz0n-support.com/confirm to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Your Order Has Shipped,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Your Package Could Not Be Delivered,URGENT: Your mailbox has exceeded its storage limit. Click http://secure-verify-account.com/login immediately to prevent your account from being deactivated.,phishing
Confirm Your Identity to Avoid Account Closure,Act now! Your subscription will be cancelled unless you confirm your payment information at http://paypal-security-alert.net/update within 24 hours.,phishing
Reminder: Dentist Appointment Tomorrow,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
You've Won a $1000 Gift Card!,URGENT: Your mailbox has exceeded its storage limit. Click http://amaz0n-support.com/confirm immediately to prevent your account from being deactivated.,phishing
Project Timeline Update,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Your Package Could Not Be Delivered,We were unable to process your recent payment. Update your billing details at http://account-update-now.biz/login immediately to avoid service interruption.,phishing
Welcome to the Team!,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Your Order Has Shipped,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Weekly Team Meeting Notes,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Flight Confirmation for Your Upcoming Trip,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Q3 Budget Review Attached,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
You've Won a $1000 Gift Card!,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://amaz0n-support.com/confirm or your account will be closed.,phishing
Q3 Budget Review Attached,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Your Package Could Not Be Delivered,URGENT: Your mailbox has exceeded its storage limit. Click http://irs-gov-refund.net/claim immediately to prevent your account from being deactivated.,phishing
Your PayPal Account Has Been Limited,We were unable to process your recent payment. Update your billing details at http://secure-verify-account.com/login immediately to avoid service interruption.,phishing
Reminder: Dentist Appointment Tomorrow,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
Your Account Has Been Suspended,Your package delivery failed due to an incomplete address. Confirm your details at http://secure-verify-account.com/login within 48 hours or the package will be returned.,phishing
Your Account Has Been Suspended,Congratulations! You have won a prize. Click http://secure-verify-account.com/login now and claim your reward before this limited time offer expires.,phishing
Urgent: Verify Your Account Now,Your account has been temporarily locked. Please login at http://192.168.44.21/verify to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Lunch Plans for Friday?,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Final Notice: Payment Failed,URGENT: Your mailbox has exceeded its storage limit. Click http://account-update-now.biz/login immediately to prevent your account from being deactivated.,phishing
Confirm Your Identity to Avoid Account Closure,"Dear valued customer, our records show your information needs updating. Click http://amaz0n-support.com/confirm and enter your login credentials to avoid losing access.",phishing
Your Package Could Not Be Delivered,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://irs-gov-refund.net/claim or your account will be closed.,phishing
Action Required: Unusual Login Detected,Congratulations! You have won a prize. Click http://appIe-id-locked.com/restore now and claim your reward before this limited time offer expires.,phishing
Your Package Could Not Be Delivered,Your account has been temporarily locked. Please login at http://account-update-now.biz/login to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Your Account Has Been Suspended,"Dear Customer, we detected unusual activity on your account. Click here http://192.168.44.21/verify to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Q3 Budget Review Attached,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Newsletter: This Month's Highlights,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Reminder: Dentist Appointment Tomorrow,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Final Notice: Payment Failed,Your account has been temporarily locked. Please login at http://paypal-security-alert.net/update to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Weekly Team Meeting Notes,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details.,safe
Security Alert: Update Your Password Immediately,Your package delivery failed due to an incomplete address. Confirm your details at http://appIe-id-locked.com/restore within 48 hours or the package will be returned.,phishing
IRS Tax Refund Pending - Action Needed,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://paypal-security-alert.net/update or your account will be closed.,phishing
Security Alert: Update Your Password Immediately,"Dear valued customer, our records show your information needs updating. Click http://account-update-now.biz/login and enter your login credentials to avoid losing access.",phishing
Flight Confirmation for Your Upcoming Trip,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Your Order Has Shipped,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
Lunch Plans for Friday?,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Flight Confirmation for Your Upcoming Trip,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
Security Alert: Update Your Password Immediately,Your account has been temporarily locked. Please login at http://secure-verify-account.com/login to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Your Account Has Been Suspended,We were unable to process your recent payment. Update your billing details at http://192.168.44.21/verify immediately to avoid service interruption.,phishing
Your Invoice from Acme Consulting,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Newsletter: This Month's Highlights,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
Project Timeline Update,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Your Account Has Been Suspended,"Dear Customer, we detected unusual activity on your account. Click here http://account-update-now.biz/login to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Your Order Has Shipped,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Project Timeline Update,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Your PayPal Account Has Been Limited,You have a pending refund of $284.50. Verify your bank details at http://amaz0n-support.com/confirm to receive your payment today.,phishing
Reminder: Dentist Appointment Tomorrow,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Urgent: Verify Your Account Now,We were unable to process your recent payment. Update your billing details at http://appIe-id-locked.com/restore immediately to avoid service interruption.,phishing
Final Notice: Payment Failed,Congratulations! You have won a prize. Click http://secure-verify-account.com/login now and claim your reward before this limited time offer expires.,phishing
IRS Tax Refund Pending - Action Needed,You have a pending refund of $284.50. Verify your bank details at http://secure-verify-account.com/login to receive your payment today.,phishing
Your Order Has Shipped,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Your Account Has Been Suspended,"Dear valued customer, our records show your information needs updating. Click http://account-update-now.biz/login and enter your login credentials to avoid losing access.",phishing
Newsletter: This Month's Highlights,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
Weekly Team Meeting Notes,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Weekly Team Meeting Notes,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Welcome to the Team!,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Your Order Has Shipped,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
IRS Tax Refund Pending - Action Needed,URGENT: Your mailbox has exceeded its storage limit. Click http://bank-login-verify.info/auth immediately to prevent your account from being deactivated.,phishing
You've Won a $1000 Gift Card!,"Dear valued customer, our records show your information needs updating. Click http://irs-gov-refund.net/claim and enter your login credentials to avoid losing access.",phishing
You've Won a $1000 Gift Card!,You have a pending refund of $284.50. Verify your bank details at http://appIe-id-locked.com/restore to receive your payment today.,phishing
Urgent: Verify Your Account Now,You have a pending refund of $284.50. Verify your bank details at http://amaz0n-support.com/confirm to receive your payment today.,phishing
Final Notice: Payment Failed,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://irs-gov-refund.net/claim or your account will be closed.,phishing
Your Order Has Shipped,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
IRS Tax Refund Pending - Action Needed,URGENT: Your mailbox has exceeded its storage limit. Click http://appIe-id-locked.com/restore immediately to prevent your account from being deactivated.,phishing
Welcome to the Team!,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Project Timeline Update,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Welcome to the Team!,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Project Timeline Update,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Flight Confirmation for Your Upcoming Trip,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Your PayPal Account Has Been Limited,Act now! Your subscription will be cancelled unless you confirm your payment information at http://192.168.44.21/verify within 24 hours.,phishing
Security Alert: Update Your Password Immediately,Act now! Your subscription will be cancelled unless you confirm your payment information at http://192.168.44.21/verify within 24 hours.,phishing
Flight Confirmation for Your Upcoming Trip,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Lunch Plans for Friday?,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Weekly Team Meeting Notes,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Final Notice: Payment Failed,"Dear valued customer, our records show your information needs updating. Click http://paypal-security-alert.net/update and enter your login credentials to avoid losing access.",phishing
Flight Confirmation for Your Upcoming Trip,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Welcome to the Team!,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Your PayPal Account Has Been Limited,You have a pending refund of $284.50. Verify your bank details at http://paypal-security-alert.net/update to receive your payment today.,phishing
Final Notice: Payment Failed,Your package delivery failed due to an incomplete address. Confirm your details at http://paypal-security-alert.net/update within 48 hours or the package will be returned.,phishing
Welcome to the Team!,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Your Invoice from Acme Consulting,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Your Package Could Not Be Delivered,Congratulations! You have won a prize. Click http://secure-verify-account.com/login now and claim your reward before this limited time offer expires.,phishing
Your PayPal Account Has Been Limited,Your package delivery failed due to an incomplete address. Confirm your details at http://irs-gov-refund.net/claim within 48 hours or the package will be returned.,phishing
Urgent: Verify Your Account Now,URGENT: Your mailbox has exceeded its storage limit. Click http://paypal-security-alert.net/update immediately to prevent your account from being deactivated.,phishing
You've Won a $1000 Gift Card!,We were unable to process your recent payment. Update your billing details at http://amaz0n-support.com/confirm immediately to avoid service interruption.,phishing
Newsletter: This Month's Highlights,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Your Account Has Been Suspended,URGENT: Your mailbox has exceeded its storage limit. Click http://bank-login-verify.info/auth immediately to prevent your account from being deactivated.,phishing
Reminder: Dentist Appointment Tomorrow,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Security Alert: Update Your Password Immediately,Your package delivery failed due to an incomplete address. Confirm your details at http://amaz0n-support.com/confirm within 48 hours or the package will be returned.,phishing
Welcome to the Team!,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Urgent: Verify Your Account Now,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://bank-login-verify.info/auth or your account will be closed.,phishing
Reminder: Dentist Appointment Tomorrow,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Newsletter: This Month's Highlights,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Welcome to the Team!,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Flight Confirmation for Your Upcoming Trip,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
You've Won a $1000 Gift Card!,"Dear Customer, we detected unusual activity on your account. Click here http://appIe-id-locked.com/restore to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Your Order Has Shipped,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Your Account Has Been Suspended,We were unable to process your recent payment. Update your billing details at http://account-update-now.biz/login immediately to avoid service interruption.,phishing
Project Timeline Update,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Flight Confirmation for Your Upcoming Trip,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Your Account Has Been Suspended,You have a pending refund of $284.50. Verify your bank details at http://amaz0n-support.com/confirm to receive your payment today.,phishing
Newsletter: This Month's Highlights,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Action Required: Unusual Login Detected,Act now! Your subscription will be cancelled unless you confirm your payment information at http://account-update-now.biz/login within 24 hours.,phishing
Newsletter: This Month's Highlights,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
